label,count
MOURNING CLOAK,131
SLEEPY ORANGE,107
ATALA,100
BROWN SIPROETA,99
SCARCE SWALLOW,97
CRECENT,97
BANDED ORANGE HELICONIAN,97
MILBERTS TORTOISESHELL,96
RED CRACKER,96
ORANGE TIP,96
EASTERN PINE ELFIN,95
IPHICLUS SISTER,95
CHECQUERED SKIPPER,95
DANAID EGGFLY,94
COPPER TAIL,94
GREAT JAY,94
EASTERN COMA,93
CLEOPATRA,93
PURPLISH COPPER,92
CLOUDED SULPHUR,92
EASTERN DAPPLE WHITE,92
MONARCH,90
APPOLLO,90
PAPER KITE,90
COMMON WOOD-NYMPH,90
SOOTYWING,90
CABBAGE WHITE,90
RED POSTMAN,89
GREEN CELLED CATTLEHEART,88
ADONIS,88
SOUTHERN DOGFACE,87
ORANGE OAKLEAF,87
CLODIUS PARNASSIAN,87
MANGROVE SKIPPER,87
COMMON BANDED AWL,87
STRAITED QUEEN,87
PINE WHITE,86
MESTRA,86
BLUE SPOTTED CROW,86
GREY HAIRSTREAK,86
RED SPOTTED PURPLE,86
CHESTNUT,85
BLACK HAIRSTREAK,85
AN 88,85
POPINJAY,85
PIPEVINE SWALLOW,84
ULYSES,84
PEACOCK,84
CAIRNS BIRDWING,83
SILVER SPOT SKIPPER,83
TROPICAL LEAFWING,83
BANDED PEACOCK,83
ELBOWED PIERROT,82
RED ADMIRAL,82
JULIA,81
INDRA SWALLOW,81
BECKERS WHITE,81
VICEROY,81
LARGE MARBLE,81
PURPLE HAIRSTREAK,79
PAINTED LADY,78
GREAT EGGFLY,78
QUESTION MARK,77
ZEBRA LONG WING,76
ORCHARD SWALLOW,76
METALMARK,76
TWO BARRED FLASHER,76
AFRICAN GIANT SWALLOWTAIL,75
YELLOW SWALLOW TAIL,75
BLUE MORPHO,75
AMERICAN SNOOT,74
GOLD BANDED,73
MALACHITE,73
CRIMSON PATCH,72
WOOD SATYR,71
